algorithm,matrix_kind,metric,n,mean,std,min,max
fixed_time,normal,avg_travel_time,120,69.33873449954044,33.714361528735324,19.125,157.73299351251157
fixed_time,normal,avg_delay,120,52.40688833239139,28.6581762061886,8.903222222222222,128.7757924003707
fixed_time,normal,avg_queue_length,120,4.377964123376624,4.032939832317876,0.6857142857142857,17.583333333333332
fixed_time,normal,throughput,120,1182.5,484.62295835495235,360.0,2662.0
fixed_time,normal,total_stops,120,1170.225,464.3575205946094,132.0,2588.0
fixed_time,normal,fuel_consumption,120,70323.98141666666,35402.166532486655,7607.0,152706.28
classic_maxpressure,normal,avg_travel_time,120,66.12531887777435,34.94871723120202,19.125,157.73299351251157
classic_maxpressure,normal,avg_delay,120,49.18380808000707,29.61101109507271,8.903222222222222,128.7757924003707
classic_maxpressure,normal,avg_queue_length,120,3.915323791486292,4.063412862334676,0.3,17.583333333333332
classic_maxpressure,normal,throughput,120,1197.125,466.0053659030335,360.0,2550.0
classic_maxpressure,normal,total_stops,120,1706.0333333333333,961.8189869125241,132.0,4187.0
classic_maxpressure,normal,fuel_consumption,120,69635.73841666667,35720.921998747435,7607.0,152706.28
capacity_aware_maxpressure,normal,avg_travel_time,120,66.46265526125536,32.95107424935476,21.61973525872443,153.3354497354497
capacity_aware_maxpressure,normal,avg_delay,120,49.52664340018989,28.91644962408259,9.167518557794272,124.47999244142102
capacity_aware_maxpressure,normal,avg_queue_length,120,3.841102833277833,3.9151479273914256,0.3,17.59
capacity_aware_maxpressure,normal,throughput,120,1195.275,463.6668421897543,361.0,2543.0
capacity_aware_maxpressure,normal,total_stops,120,1758.2916666666667,977.053333619355,190.0,4191.0
capacity_aware_maxpressure,normal,fuel_consumption,120,70117.79858333334,35542.14016745988,9359.38,158946.88
