run_key,scene_id,intersection_id,algorithm,flow_multiplier,seed,matrix_kind,disturbance_kind,disturbance_begin_seconds,disturbance_end_seconds,disturbance_target,disturbance_intensity,duration_seconds,warmup_seconds,steps,steps_origin,algorithm_params,run_id,status,reason,run_dir,avg_delay,avg_delay_seconds,avg_queue_length,avg_queue_length_vehicles,avg_travel_time,avg_travel_time_seconds,co2_g,co2_g_per_completed,collision_count,completed_vehicle_count,fuel_consumption,fuel_ml,fuel_ml_per_completed,harsh_braking_count,illegal_transition_count,max_queue_length,max_queue_length_vehicles,potential_conflict_count,red_light_count,teleport_count,throughput,total_stops,unfinished_vehicle_count
"{""algorithm"":""fixed_time"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""1"",""seed"":42,""warmup_seconds"":600.0}",1,1,fixed_time,1.0,42,normal,,,,,,3600.0,600.0,,none,{},be90b5633c31,completed,,F:\challenge-cup\output\runs\formal\runs\i1\fixed_time\x1\s42\be90b5633c31,44.32498544395924,44.32498544395924,1.6199999999999999,1.6199999999999999,58.53639010189229,58.53639010189229,168559.86122999998,122.67821050218339,0,1374,73645.87,73645.87,53.599614264919936,609,0,10.0,10.0,138,0,0,1374,1158,28
"{""algorithm"":""fixed_time"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""1"",""seed"":43,""warmup_seconds"":600.0}",1,1,fixed_time,1.0,43,normal,,,,,,3600.0,600.0,,none,{},ede0bec2ebac,completed,,F:\challenge-cup\output\runs\formal\runs\i1\fixed_time\x1\s43\ede0bec2ebac,45.40835396941005,45.40835396941005,1.7,1.7,59.57246904588492,59.57246904588492,170970.40242,124.52323555717408,0,1373,74698.97,74698.97,54.4056591405681,572,0,10.0,10.0,132,0,0,1373,1169,29
"{""algorithm"":""fixed_time"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""1"",""seed"":44,""warmup_seconds"":600.0}",1,1,fixed_time,1.0,44,normal,,,,,,3600.0,600.0,,none,{},d6b964969c99,completed,,F:\challenge-cup\output\runs\formal\runs\i1\fixed_time\x1\s44\d6b964969c99,46.17620087336245,46.17620087336245,1.7,1.7,60.380640465793306,60.380640465793306,172033.04281,125.20599913391558,0,1374,75163.41,75163.41,54.704082969432314,588,0,10.0,10.0,135,0,0,1374,1178,28
"{""algorithm"":""fixed_time"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""1"",""seed"":42,""warmup_seconds"":600.0}",1,1,fixed_time,1.25,42,normal,,,,,,3600.0,600.0,,none,{},bb83885495be,completed,,F:\challenge-cup\output\runs\formal\runs\i1\fixed_time\x1.25\s42\bb83885495be,52.69128235294117,52.69128235294117,2.22,2.22,66.91411764705883,66.91411764705883,228508.42878,134.41672281176469,0,1700,99838.34,99838.34,58.728435294117645,658,0,10.0,10.0,166,0,0,1700,1629,39
"{""algorithm"":""fixed_time"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""1"",""seed"":43,""warmup_seconds"":600.0}",1,1,fixed_time,1.25,43,normal,,,,,,3600.0,600.0,,none,{},42d384ccd244,completed,,F:\challenge-cup\output\runs\formal\runs\i1\fixed_time\x1.25\s43\42d384ccd244,54.52907340553549,54.52907340553549,2.84,2.84,68.67268351383875,68.67268351383875,228441.74669,137.449907755716,0,1662,99808.94,99808.94,60.0535138387485,662,0,10.0,10.0,153,0,0,1662,1651,40
"{""algorithm"":""fixed_time"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""1"",""seed"":44,""warmup_seconds"":600.0}",1,1,fixed_time,1.25,44,normal,,,,,,3600.0,600.0,,none,{},9d8e6cf6c6bf,completed,,F:\challenge-cup\output\runs\formal\runs\i1\fixed_time\x1.25\s44\9d8e6cf6c6bf,53.13213690476191,53.13213690476191,2.8,2.8,67.34761904761905,67.34761904761905,226666.79485,134.9207112202381,0,1680,99033.54,99033.54,58.94853571428571,642,0,10.0,10.0,157,0,0,1680,1596,40
"{""algorithm"":""classic_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""1"",""seed"":42,""warmup_seconds"":600.0}",1,1,classic_maxpressure,1.0,42,normal,,,,,,3600.0,600.0,,none,{},f86da6f96d4a,completed,,F:\challenge-cup\output\runs\formal\runs\i1\classic_maxpressure\x1\s42\f86da6f96d4a,26.209516943042537,26.209516943042537,0.9,0.9,40.395818312905554,40.395818312905554,134908.06509,97.26608874549386,0,1387,58942.43,58942.43,42.49634462869503,744,0,10.0,10.0,175,0,0,1387,1253,15
"{""algorithm"":""classic_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""1"",""seed"":43,""warmup_seconds"":600.0}",1,1,classic_maxpressure,1.0,43,normal,,,,,,3600.0,600.0,,none,{},6b74ad744d89,completed,,F:\challenge-cup\output\runs\formal\runs\i1\classic_maxpressure\x1\s43\6b74ad744d89,25.4102451333814,25.4102451333814,0.8,0.8,39.560201874549385,39.560201874549385,133148.55368,95.99751527036771,0,1387,58173.78,58173.78,41.94216294160058,800,0,8.0,8.0,186,0,0,1387,1244,15
"{""algorithm"":""classic_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""1"",""seed"":44,""warmup_seconds"":600.0}",1,1,classic_maxpressure,1.0,44,normal,,,,,,3600.0,600.0,,none,{},966aabced7da,completed,,F:\challenge-cup\output\runs\formal\runs\i1\classic_maxpressure\x1\s44\966aabced7da,24.871629416005767,24.871629416005767,0.76,0.76,39.054794520547944,39.054794520547944,131919.79635,95.1116051550108,0,1387,57636.92,57636.92,41.55509733237202,765,0,6.0,6.0,171,0,0,1387,1208,15
"{""algorithm"":""classic_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""1"",""seed"":42,""warmup_seconds"":600.0}",1,1,classic_maxpressure,1.25,42,normal,,,,,,3600.0,600.0,,none,{},014179ae4353,completed,,F:\challenge-cup\output\runs\formal\runs\i1\classic_maxpressure\x1.25\s42\014179ae4353,43.18587199060481,43.18587199060481,2.1399999999999997,2.1399999999999997,57.39870816206694,57.39870816206694,209968.33762,123.29321058132707,0,1703,91737.61,91737.61,53.868238402818555,825,0,10.0,10.0,168,0,0,1703,2192,21
"{""algorithm"":""classic_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""1"",""seed"":43,""warmup_seconds"":600.0}",1,1,classic_maxpressure,1.25,43,normal,,,,,,3600.0,600.0,,none,{},04b566d56f65,completed,,F:\challenge-cup\output\runs\formal\runs\i1\classic_maxpressure\x1.25\s43\04b566d56f65,43.43507075471698,43.43507075471698,2.08,2.08,57.58018867924528,57.58018867924528,210635.95805000002,124.19572998231133,0,1696,92029.31,92029.31,54.26256485849056,800,0,10.0,10.0,162,0,0,1696,2186,25
"{""algorithm"":""classic_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""1"",""seed"":44,""warmup_seconds"":600.0}",1,1,classic_maxpressure,1.25,44,normal,,,,,,3600.0,600.0,,none,{},1fde85cf0350,completed,,F:\challenge-cup\output\runs\formal\runs\i1\classic_maxpressure\x1.25\s44\1fde85cf0350,42.96794674556213,42.96794674556213,2.06,2.06,57.1603550295858,57.1603550295858,207909.59346,123.02342808284024,0,1690,90838.07,90838.07,53.750337278106514,812,0,10.0,10.0,169,0,0,1690,2179,25
"{""algorithm"":""capacity_aware_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""1"",""seed"":42,""warmup_seconds"":600.0}",1,1,capacity_aware_maxpressure,1.0,42,normal,,,,,,3600.0,600.0,,none,{},86f0b982bf71,completed,,F:\challenge-cup\output\runs\formal\runs\i1\capacity_aware_maxpressure\x1\s42\86f0b982bf71,26.209516943042537,26.209516943042537,0.9,0.9,40.395818312905554,40.395818312905554,134908.06509,97.26608874549386,0,1387,58942.43,58942.43,42.49634462869503,744,0,10.0,10.0,175,0,0,1387,1253,15
"{""algorithm"":""capacity_aware_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""1"",""seed"":43,""warmup_seconds"":600.0}",1,1,capacity_aware_maxpressure,1.0,43,normal,,,,,,3600.0,600.0,,none,{},80ad68490b88,completed,,F:\challenge-cup\output\runs\formal\runs\i1\capacity_aware_maxpressure\x1\s43\80ad68490b88,25.4102451333814,25.4102451333814,0.8,0.8,39.560201874549385,39.560201874549385,133148.55368,95.99751527036771,0,1387,58173.78,58173.78,41.94216294160058,800,0,8.0,8.0,186,0,0,1387,1244,15
"{""algorithm"":""capacity_aware_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""1"",""seed"":44,""warmup_seconds"":600.0}",1,1,capacity_aware_maxpressure,1.0,44,normal,,,,,,3600.0,600.0,,none,{},932eb90265e7,completed,,F:\challenge-cup\output\runs\formal\runs\i1\capacity_aware_maxpressure\x1\s44\932eb90265e7,24.871629416005767,24.871629416005767,0.76,0.76,39.054794520547944,39.054794520547944,131919.79635,95.1116051550108,0,1387,57636.92,57636.92,41.55509733237202,765,0,6.0,6.0,171,0,0,1387,1208,15
"{""algorithm"":""capacity_aware_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""1"",""seed"":42,""warmup_seconds"":600.0}",1,1,capacity_aware_maxpressure,1.25,42,normal,,,,,,3600.0,600.0,,none,{},0cf65bd60bc7,completed,,F:\challenge-cup\output\runs\formal\runs\i1\capacity_aware_maxpressure\x1.25\s42\0cf65bd60bc7,43.18587199060481,43.18587199060481,2.1399999999999997,2.1399999999999997,57.39870816206694,57.39870816206694,209968.33762,123.29321058132707,0,1703,91737.61,91737.61,53.868238402818555,825,0,10.0,10.0,168,0,0,1703,2192,21
"{""algorithm"":""capacity_aware_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""1"",""seed"":43,""warmup_seconds"":600.0}",1,1,capacity_aware_maxpressure,1.25,43,normal,,,,,,3600.0,600.0,,none,{},156e1481826c,completed,,F:\challenge-cup\output\runs\formal\runs\i1\capacity_aware_maxpressure\x1.25\s43\156e1481826c,43.43507075471698,43.43507075471698,2.08,2.08,57.58018867924528,57.58018867924528,210635.95805000002,124.19572998231133,0,1696,92029.31,92029.31,54.26256485849056,800,0,10.0,10.0,162,0,0,1696,2186,25
"{""algorithm"":""capacity_aware_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""1"",""seed"":44,""warmup_seconds"":600.0}",1,1,capacity_aware_maxpressure,1.25,44,normal,,,,,,3600.0,600.0,,none,{},fb728f4e17d1,completed,,F:\challenge-cup\output\runs\formal\runs\i1\capacity_aware_maxpressure\x1.25\s44\fb728f4e17d1,42.96794674556213,42.96794674556213,2.06,2.06,57.1603550295858,57.1603550295858,207909.59346,123.02342808284024,0,1690,90838.07,90838.07,53.750337278106514,812,0,10.0,10.0,169,0,0,1690,2179,25
